Metrics,Values
Total Return,1.5728988356380884
Annualized Return,0.1941776648056921
Annualized Volatility,0.1737594828325467
Sharpe Ratio,0.9143539231110839
Max Drawdown,-0.25521948160384544
Beta,0.8987295043841856
Alpha,0.05181093898656233
