year,portfolio_annual_return,benchmark_annual_return,excess_annual_return
2021,0.18631775269797224,0.30505448857152384,-0.1187367358735516
2022,-0.15774334981682359,-0.18175343211066308,0.024010082293839496
2023,0.26705048682777055,0.26175755153181646,0.005292935295954093
2024,0.26385770445671164,0.24886476082080433,0.014992943635907308
2025,0.3859872677076137,0.1771906130702361,0.20879665463737762
2026,0.17286303753456278,0.08463520678418668,0.0882278307503761
